Title,Subtitle,Time
NBA Extra,Mag Sport,11:45
Sassuolo / Milan AC,13e journée,12:45
Ça se passe sur beIN SPORTS,Mag Sport,14:45
Ça se passe sur beIN SPORTS,Mag Sport,15:00
Ça se passe sur beIN SPORTS,Mag Sport,15:15
Football Show,Mag Foot,15:30
Valence / FC Séville,15e journée,17:00
This is Paris,Mag Foot,19:00
Champions Arena,Mag Foot,19:30
Arsenal / Manchester City,Quarts de finale,20:00
