Title,Subtitle,Time
"beIN SPORTS, le plus grand des spectacles",Mag Sport,08:00
Hatayspor / Trabzonspor,14e journée,12:55
"beIN SPORTS, le plus grand des spectacles",Mag Sport,14:55
Galatasaray / Göztepe,14e journée,15:55
"beIN SPORTS, le plus grand des spectacles",Mag Sport,18:00
Paris FC / Guingamp,17e journée,18:55
Villarreal / Athletic Bilbao,15e journée,20:55
