Title,Subtitle,Time
Ça se passe sur beIN SPORTS,Mag Sport,12:15
Football Show,Mag Foot,12:30
Handball - Paris-SG / Dunkerque,14e journée,14:00
Ça se passe sur beIN SPORTS,Mag Sport,15:45
Natation - Championnats de France,Natation,16:00
Ça se passe sur beIN SPORTS,Mag Sport,17:30
Ça se passe sur beIN SPORTS,Mag Sport,17:45
This is Paris,Mag Foot,18:00
Maxi Ligue 2,Mag Foot,18:30
Grenoble / Troyes,17e journée,19:00
Maxi Ligue 2,Mag Foot,21:00
Maxi Ligue 2,Mag Foot,21:30
